Name,Year,Position,Number,School,YDS,TDS
Austin Gehring,SR,WR/DB,#4,Gladbrook-Reinbeck,-1,1
Dreyson Morgan,SO,WR/DB,#10,Gladbrook-Reinbeck,8,1
Cooper Petersen,JR,DE/OG,#33,Boyer Valley,7,1
Domonic Garcia,SO,WR/DB,#8,Lone Tree,10,0
Dominic Graap,SR,WR/DB,#19,Lone Tree,3,0
Jeremiah Lynam,SR,DB/WR,#9,Siouxland Christian,6,0
Carter Michalek,JR,WR/DB,#2,Montezuma,2,0
Lars Taylor,JR,TE/LB,#43,Montezuma,17,0
Dane Strong,FR,RB/LB,#33,Montezuma,52,1
Luke Erselius,SO,WR/DB,#15,Montezuma,-1,1
Jacksyn Hogrefe,SO,RB/DB,#26,Newell-Fonda,1,0
Trevor Tauber,SO,QB/S,#12,Newell-Fonda,6,0
Caden Carruthers,JR,QB/DL,#20,Southeast Warren,7,0
Brogan Ewing,JR,WR/CB,#10,Southeast Warren,4,0
Cael Dop,FR,OG/DT,#58,Southeast Warren,5,0
Teagan Hanson,SO,QB/S,#10,GTRA,29,1
Ethan Schaufenbuel,SO,WR/CB,#20,Tripoli,-11,0
Brody King,JR,TE/LB,#2,Bedford,18,1
Quentin Dalton,FR,QB/LB,#10,Bedford,13,0
Tayson Samuels,FR,RB/DB,#21,Winfield-Mt Union,12,0
Cody Milks,FR,QB/LB,#12,Winfield-Mt Union,-3,0
Jaxon Larson,JR,,#7,Don Bosco,24,0
David Schmitz,JR,,#4,Don Bosco,10,0
Tucker Youngblut,SO,,#22,Don Bosco,5,1
Owen Ary,SO,TE/LB,#22,Iowa Valley,24,0
Ian Smith,JR,TE/LB,#5,Iowa Valley,13,0
Brenner Sullivan,SO,RB/LB,#22,Woodbine,45,0
Devon Ehlers,SO,TE/LB,#88,Ar-We-Va,1,0
Chance Christensen,SO,RB,#15,Riceville,6,0
Aidan Ebert,JR,WR,#3,Riceville,5,0
Gunnar Smith,SO,QB,#6,Riceville,-10,0
Ethan Swisher,SO,QB/DB,#16,St. Edmond,10,0
Dallas Grove,FR,RB/DE,#26,St. Edmond,6,0
Chase Forey,JR,WR/LB,#17,Janesville,-1,0
Landon Campbell,SO,RB,#12,Edgewood-Colesburg,3,0
Kelan Stevenson,SO,TE/LB,#62,Lamoni,6,0
Austin Christensen,SO,WR/LB,#81,Audubon,11,0
Aiden Stenzel,SO,RB/DB,#20,Sidney,2,0
Chaz Cornelison,JR,RB/DB,#31,East Union,3,0
Wyatt Christiansen,SO,RB/LB,#10,Midland,-5,0
Boston Roorda,SO,TE/DB,#10,HLV,-2,0
Derek Kressley,FR,RB/LB,#10,Belle Plaine,10,0
Eli Hanson,JR,RB/DB,#8,West Bend-Mallard,3,0
Josten Kilworth,SO,TE/DL,#6,Exira-EHK,11,0
Noah Connelly,SO,WR/DB,#22,Kee,2,0
Zach Goetzinger,SO,RB/DB,#20,Kee,13,0
Titus Barber,SR,OG/DE,#90,Murray,0,0
Jaxon Darby,FR,TE/CB,#17,Murray,1,0
Wyatt Patton,FR,OG/LB,#40,Murray,1,0
Treyton Travis,SR,WR/CB,#24,Baxter,-2,0
Jack Osborne,FR,QB/DB,#18,English Valleys,12,0
Rhett Lemonds,FR,,#15,Fremont-Mills,-2,0
JW Linkenhoker,SO,,#11,Fremont-Mills,3,0
Noah Fee,SR,TE/DB,#15,Twin Cedars,10,0
